UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1279324800,0.04951,0.04951,0.04951,0.04951,2010-07-17
DAY,1279411200,0.04951,0.08585,0.04951,0.08584,2010-07-18
DAY,1279497600,0.08584,0.09307,0.07723,0.0808,2010-07-19
DAY,1279584000,0.0808,0.08181,0.07426,0.07474,2010-07-20
DAY,1279670400,0.07474,0.07921,0.06634,0.07921,2010-07-21
DAY,1279756800,0.07921,0.0809683333333333,0.05446,0.05446,2010-07-22
DAY,1279843200,0.05446,0.06767,0.0505,0.0624138775510204,2010-07-23
DAY,1279929600,0.0624138775510204,0.0624138775510204,0.0508167741935484,0.05454,2010-07-24
DAY,1280016000,0.05454,0.05941,0.0505,0.0505,2010-07-25
DAY,1280102400,0.0505,0.056,0.05,0.056,2010-07-26
DAY,1280188800,0.056,0.0605,0.0544875,0.06,2010-07-27
DAY,1280275200,0.06,0.062,0.054,0.0589,2010-07-28
DAY,1280361600,0.0589,0.0699,0.0571,0.0698625662193553,2010-07-29
DAY,1280448000,0.0698625662193553,0.0698625662193553,0.06,0.0627,2010-07-30
DAY,1280534400,0.0627,0.06889,0.056,0.06785,2010-07-31
DAY,1280620800,0.06785,0.06785,0.06,0.0611,2010-08-01
DAY,1280707200,0.0611,0.0633,0.06010568,0.06010568,2010-08-02
DAY,1280793600,0.06010568,0.065,0.059,0.06,2010-08-03
DAY,1280880000,0.06,0.0623,0.0572824939363675,0.0572824939363675,2010-08-04
DAY,1280966400,0.0572824939363675,0.061,0.0572824939363675,0.061,2010-08-05
DAY,1281052800,0.061,0.0624,0.0607,0.0623,2010-08-06
DAY,1281139200,0.0623,0.0623,0.059,0.059,2010-08-07
DAY,1281225600,0.059,0.061,0.059,0.0609,2010-08-08
DAY,1281312000,0.0609,0.0735,0.05952739125,0.0707,2010-08-09
DAY,1281398400,0.0707,0.0709,0.06651,0.07,2010-08-10
DAY,1281484800,0.07,0.07541,0.06,0.067,2010-08-11
DAY,1281571200,0.067,0.07,0.06141,0.07,2010-08-12
DAY,1281657600,0.07,0.07,0.0645,0.0645,2010-08-13
DAY,1281744000,0.0645,0.0690460223537147,0.0645,0.067,2010-08-14
DAY,1281830400,0.067,0.067,0.065,0.06529,2010-08-15
DAY,1281916800,0.06529,0.0679,0.062275,0.0655,2010-08-16
DAY,1282003200,0.0655,0.07638,0.06243,0.07,2010-08-17
DAY,1282089600,0.07,0.0733,0.067,0.068,2010-08-18
DAY,1282176000,0.068,0.068,0.0667,0.0667,2010-08-19
DAY,1282262400,0.0667,0.0667,0.065,0.0655,2010-08-20
DAY,1282348800,0.0655,0.0667054893333333,0.0644,0.0664,2010-08-21
DAY,1282435200,0.0664,0.0664,0.0612,0.066,2010-08-22
DAY,1282521600,0.066,0.06689,0.06409,0.06491,2010-08-23
DAY,1282608000,0.06491,0.0665,0.06491,0.065,2010-08-24
DAY,1282694400,0.065,0.066497,0.0641,0.0648,2010-08-25
DAY,1282780800,0.0648,0.0657983498349835,0.064,0.064,2010-08-26
DAY,1282867200,0.064,0.065,0.063,0.065,2010-08-27
DAY,1282953600,0.065,0.065,0.0645,0.0645982546728972,2010-08-28
DAY,1283040000,0.0645982546728972,0.0647,0.064,0.064,2010-08-29
DAY,1283126400,0.064,0.0676318618698477,0.03211,0.06497,2010-08-30
DAY,1283212800,0.06497,0.06497,0.06,0.06,2010-08-31
DAY,1283299200,0.06,0.0629,0.05961,0.0629,2010-09-01
DAY,1283385600,0.0629,0.0634,0.0601,0.0634,2010-09-02
DAY,1283472000,0.0634,0.0634,0.06085,0.06085,2010-09-03
DAY,1283558400,0.06085,0.06238,0.06085,0.06238,2010-09-04
DAY,1283644800,0.06238,0.0632887195084485,0.0605,0.06163975,2010-09-05
DAY,1283731200,0.06163975,0.0627,0.0616,0.0616,2010-09-06
DAY,1283817600,0.0616,0.06201,0.0603,0.0610028889147648,2010-09-07
DAY,1283904000,0.0610028889147648,0.0612664420040746,0.061,0.0612664420040746,2010-09-08
DAY,1283990400,0.0612664420040746,0.0624,0.06109,0.06111,2010-09-09
DAY,1284076800,0.06111,0.0618,0.06014,0.0618,2010-09-10
DAY,1284163200,0.0618,0.0644883368883512,0.0618,0.06366,2010-09-11
DAY,1284249600,0.06366,0.06366,0.0615,0.0615,2010-09-12
DAY,1284336000,0.0615,0.064,0.0608,0.0621824198330189,2010-09-13
DAY,1284422400,0.0621824198330189,0.175,0.06100510408,0.06199,2010-09-14
DAY,1284508800,0.06199,0.0625,0.0604,0.0604,2010-09-15
DAY,1284595200,0.0604,0.0618747945205479,0.0604,0.0618747945205479,2010-09-16
DAY,1284681600,0.0618747945205479,0.0618747945205479,0.0597976861530533,0.0597976861530533,2010-09-17
DAY,1284768000,0.0597976861530533,0.061,0.05761,0.061,2010-09-18
DAY,1284854400,0.061,0.0627,0.06,0.0627,2010-09-19
DAY,1284940800,0.0627,0.0634,0.062,0.0621,2010-09-20
DAY,1285027200,0.0621,0.0633,0.0621,0.06265,2010-09-21
DAY,1285113600,0.06265,0.06265,0.0614845652173913,0.0622,2010-09-22
DAY,1285200000,0.0622,0.063,0.0615932008,0.06231,2010-09-23
DAY,1285286400,0.06231,0.0624,0.06209,0.0622,2010-09-24
DAY,1285372800,0.0622,0.0624,0.061724,0.06202,2010-09-25
DAY,1285459200,0.06202,0.06228,0.06186,0.06202171,2010-09-26
DAY,1285545600,0.06202171,0.06228,0.0619344675,0.0622009295539808,2010-09-27
DAY,1285632000,0.0622009295539808,0.06271,0.06171,0.0619,2010-09-28
DAY,1285718400,0.0619,0.062,0.0615005660377358,0.0619004290909091,2010-09-29
DAY,1285804800,0.0619004290909091,0.0619004290909091,0.061585591,0.0619,2010-09-30
DAY,1285891200,0.0619,0.062,0.06189,0.06197,2010-10-01
DAY,1285977600,0.06197,0.06197,0.06125,0.0614,2010-10-02
DAY,1286064000,0.0614,0.0614,0.061002783,0.06111,2010-10-03
DAY,1286150400,0.06111,0.062,0.06084,0.0612998286895566,2010-10-04
DAY,1286236800,0.0612998286895566,0.063,0.0609477374783584,0.0614,2010-10-05
DAY,1286323200,0.0614,0.0634990180727273,0.0614,0.06281,2010-10-06
DAY,1286409600,0.06281,0.067,0.06281,0.067,2010-10-07
DAY,1286496000,0.067,0.088,0.01,0.0835642648639761,2010-10-08
DAY,1286582400,0.0835642648639761,0.120006578037847,0.0700015292949355,0.0938,2010-10-09
DAY,1286668800,0.0938,0.1301,0.07999,0.0965,2010-10-10
DAY,1286755200,0.0965,0.100436666530653,0.091,0.095,2010-10-11
DAY,1286841600,0.095,0.0984,0.083005,0.0949,2010-10-12
DAY,1286928000,0.0949,0.105,0.092,0.105,2010-10-13
DAY,1287014400,0.105,0.105,0.0680789415310428,0.102,2010-10-14
DAY,1287100800,0.102,0.117169197396963,0.0950829383886256,0.105,2010-10-15
DAY,1287187200,0.105,0.105,0.1,0.101,2010-10-16
DAY,1287273600,0.101,0.1045,0.10001,0.102,2010-10-17
DAY,1287360000,0.102,0.103,0.099681113757495,0.1024,2010-10-18
DAY,1287446400,0.1024,0.1024,0.097,0.097,2010-10-19
DAY,1287532800,0.097,0.103,0.094,0.099,2010-10-20
DAY,1287619200,0.099,0.107,0.097,0.107,2010-10-21
DAY,1287705600,0.107,0.109,0.1015,0.103781247567961,2010-10-22
DAY,1287792000,0.103781247567961,0.109,0.103781247567961,0.104995,2010-10-23
DAY,1287878400,0.104995,0.19,0.104995,0.11501,2010-10-24
DAY,1287964800,0.11501,0.19,0.09009,0.132,2010-10-25
DAY,1288051200,0.132,0.18,0.132,0.1503,2010-10-26
