UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1368921600,3.1491,3.1491,3.1491,3.1491,2013-05-19
DAY,1369008000,3.1491,3.1491,3.1491,3.1491,2013-05-20
DAY,1369094400,3.1491,3.1491,3.1491,3.1491,2013-05-21
DAY,1369180800,3.1491,3.1491,2.99,2.99,2013-05-22
DAY,1369267200,2.99,3.29936975559993,2.99,3.05277666366428,2013-05-23
DAY,1369353600,3.05277666366428,3.49666563045667,2.90443938182378,2.90443938182378,2013-05-24
DAY,1369440000,2.90443938182378,3.33881499006564,2.88021181127504,3.05,2013-05-25
DAY,1369526400,3.05,3.3145911507297,3.05,3.16802105919895,2013-05-26
DAY,1369612800,3.16802105919895,3.16802105919895,3.15002892783512,3.15029816599219,2013-05-27
DAY,1369699200,3.15029816599219,3.15029816599219,2.99,3.05123095606366,2013-05-28
DAY,1369785600,3.05123095606366,3.06999422175468,2.98121742948832,3.02256836110031,2013-05-29
DAY,1369872000,3.02256836110031,3.04972832680959,2.82189351118108,3.03220421039381,2013-05-30
DAY,1369958400,3.03220421039381,3.04899832150456,2.72,2.9653206348728,2013-05-31
DAY,1370044800,2.9653206348728,2.9653206348728,2.82972924067122,2.84239807415427,2013-06-01
DAY,1370131200,2.84239807415427,2.84239807415427,2.69550513632808,2.73715150501377,2013-06-02
DAY,1370217600,2.73715150501377,2.82999123681542,2.60520060037154,2.60520060037154,2013-06-03
DAY,1370304000,2.60520060037154,2.92386856552419,2.60520060037154,2.8308218683231,2013-06-04
DAY,1370390400,2.8308218683231,2.95008471865262,2.76000876506184,2.80366393515002,2013-06-05
DAY,1370476800,2.80366393515002,2.81,2.80348198311781,2.81,2013-06-06
DAY,1370563200,2.81,2.81,2.59666549301545,2.61889653173961,2013-06-07
DAY,1370649600,2.61889653173961,2.61889653173961,2.56657563559742,2.58443856762807,2013-06-08
DAY,1370736000,2.58443856762807,2.59047166588544,2.3025149416089,2.31490212419829,2013-06-09
DAY,1370822400,2.31490212419829,2.51931,2.31490212419829,2.51931,2013-06-10
DAY,1370908800,2.51931,2.54712572906619,2.31003512153173,2.42033537471938,2013-06-11
DAY,1370995200,2.42033537471938,2.49977190072202,2.30491624140072,2.35,2013-06-12
DAY,1371081600,2.35,2.53779070867513,2.24370754873322,2.40003477241132,2013-06-13
DAY,1371168000,2.40003477241132,2.40003477241132,2.19774358281879,2.26220144235164,2013-06-14
DAY,1371254400,2.26220144235164,2.26220144235164,2.13077878846016,2.16927674438229,2013-06-15
DAY,1371340800,2.16927674438229,2.16927674438229,2.09388836869092,2.14999642543468,2013-06-16
DAY,1371427200,2.14999642543468,2.59,2.07301793435883,2.59,2013-06-17
DAY,1371513600,2.59,2.59,2.20043707544698,2.37800838885948,2013-06-18
DAY,1371600000,2.37800838885948,2.482235088,2.37800838885948,2.38850084832219,2013-06-19
DAY,1371686400,2.38850084832219,2.455415517,2.20012268780979,2.20012268780979,2013-06-20
DAY,1371772800,2.20012268780979,2.968902966,2.08,2.9565,2013-06-21
DAY,1371859200,2.9565,3.808,2.820029571,2.98046426834272,2013-06-22
DAY,1371945600,2.98046426834272,3.40873893668341,2.88737250877655,2.999,2013-06-23
DAY,1372032000,2.999,3.0285382262899,2.50016708115873,2.880249438,2013-06-24
DAY,1372118400,2.880249438,2.880249438,2.5,2.75,2013-06-25
DAY,1372204800,2.75,20.0,2.24231346439642,2.65961565054099,2013-06-26
DAY,1372291200,2.65961565054099,2.9233688086051,2.65961565054099,2.77674053215586,2013-06-27
DAY,1372377600,2.77674053215586,2.88634839308112,2.35,2.35,2013-06-28
DAY,1372464000,2.35,2.56037254824985,2.31,2.31,2013-06-29
DAY,1372550400,2.31,2.92897032,2.31,2.60030145912837,2013-06-30
DAY,1372636800,2.60030145912837,3.18891625558525,2.60030145912837,2.664,2013-07-01
DAY,1372723200,2.664,3.1304,2.664,2.689316321376,2013-07-02
DAY,1372809600,2.689316321376,3.061169322,2.58478143,2.59031969177484,2013-07-03
DAY,1372896000,2.59031969177484,2.69993659132756,2.47294028162533,2.65988485125438,2013-07-04
DAY,1372982400,2.65988485125438,2.65988485125438,2.31801402044714,2.31801402044714,2013-07-05
DAY,1373068800,2.31801402044714,2.7540811,2.27781553922506,2.71525332,2013-07-06
DAY,1373155200,2.71525332,2.84675958,2.40061998100115,2.45673915948971,2013-07-07
DAY,1373241600,2.45673915948971,2.64999875303171,2.45124226104701,2.64316432208111,2013-07-08
