UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1421452800,0.016,0.016,0.016,0.016,2015-01-17
DAY,1421539200,0.016,0.016,0.016,0.016,2015-01-18
DAY,1421625600,0.016,0.016,0.016,0.016,2015-01-19
DAY,1421712000,0.016,0.0175,0.016,0.0175,2015-01-20
DAY,1421798400,0.0175,0.0175,0.01652141,0.01652141,2015-01-21
DAY,1421884800,0.01652141,0.07531,0.01652141,0.07531,2015-01-22
DAY,1421971200,0.07531,0.07531,0.0169886,0.049,2015-01-23
DAY,1422057600,0.049,0.049,0.049,0.049,2015-01-24
DAY,1422144000,0.049,0.049,0.0168041,0.01687131,2015-01-25
DAY,1422230400,0.01687131,0.025,0.01620616,0.01620616,2015-01-26
DAY,1422316800,0.01620616,0.02499649,0.01560525,0.01597238,2015-01-27
DAY,1422403200,0.01597238,0.0249964,0.01597238,0.0249964,2015-01-28
DAY,1422489600,0.0249964,0.0249964,0.0142686320597927,0.0143379102464794,2015-01-29
DAY,1422576000,0.0143379102464794,0.014953428652228,0.0141338499723625,0.0146690633341851,2015-01-30
DAY,1422662400,0.0146690633341851,0.0150935993582137,0.0139095585651338,0.0141485452126475,2015-01-31
DAY,1422748800,0.0141485452126475,0.0145104543184742,0.0137731406301005,0.0137971071161287,2015-02-01
DAY,1422835200,0.0137971071161287,0.0141826103659736,0.0131181401581174,0.0137410295330531,2015-02-02
DAY,1422921600,0.0137410295330531,0.0137410295330531,0.0129177489244832,0.0131715754987322,2015-02-03
DAY,1423008000,0.0131715754987322,0.0141938494429843,0.0130838316366108,0.0134793178681853,2015-02-04
DAY,1423094400,0.0134793178681853,0.0158339626163487,0.0133746069067836,0.015514232347763,2015-02-05
DAY,1423180800,0.015514232347763,0.0164469889079973,0.0141897380642396,0.0141897380642396,2015-02-06
DAY,1423267200,0.0141897380642396,0.0149492059930594,0.0141897380642396,0.0149492059930594,2015-02-07
DAY,1423353600,0.0149492059930594,0.0149937263373737,0.0135638342208422,0.0144967746713685,2015-02-08
DAY,1423440000,0.0144967746713685,0.0144967746713685,0.0136619779559872,0.0138730456735321,2015-02-09
DAY,1423526400,0.0138730456735321,0.0138730456735321,0.0132464925646935,0.0137126403701062,2015-02-10
DAY,1423612800,0.0137126403701062,0.014007993395353,0.0134590518544526,0.0136236184770496,2015-02-11
DAY,1423699200,0.0136236184770496,0.014205774034382,0.0136236184770496,0.0141474099203911,2015-02-12
DAY,1423785600,0.0141474099203911,0.0150968890104841,0.0140014461489459,0.0146701628135587,2015-02-13
DAY,1423872000,0.0146701628135587,0.015211917435357,0.0142474379626949,0.0148350683052392,2015-02-14
DAY,1423958400,0.0148350683052392,0.0150067615811282,0.0133066159651023,0.0134625069822836,2015-02-15
DAY,1424044800,0.0134625069822836,0.01403348516708,0.013420245791607,0.0137884104738049,2015-02-16
DAY,1424131200,0.0137884104738049,0.0141649778556228,0.0136038268450697,0.0139278190108414,2015-02-17
DAY,1424217600,0.0139278190108414,0.0141748593663193,0.0136358520355264,0.0136608599337651,2015-02-18
DAY,1424304000,0.0136608599337651,0.0139269057350903,0.0135664081938053,0.0135862472910773,2015-02-19
DAY,1424390400,0.0135862472910773,0.0139311476625367,0.0132180081896367,0.0132813736414148,2015-02-20
DAY,1424476800,0.0132813736414148,0.0135322313929588,0.0131294783882921,0.0134318945892397,2015-02-21
DAY,1424563200,0.0134318945892397,0.013543849899757,0.012911504618349,0.0131862134110853,2015-02-22
DAY,1424649600,0.0131862134110853,0.0136178586634465,0.0130539985395873,0.0135257706243135,2015-02-23
DAY,1424736000,0.0135257706243135,0.0135668777040137,0.0127691401725239,0.0130202392244108,2015-02-24
DAY,1424822400,0.0130202392244108,0.0133923192975047,0.0129703980619883,0.0131433266604528,2015-02-25
DAY,1424908800,0.0131433266604528,0.0134059290785573,0.0128878211687318,0.0131191095536681,2015-02-26
DAY,1424995200,0.0131191095536681,0.013870652836761,0.0126818558695841,0.0132105875197148,2015-02-27
DAY,1425081600,0.0132105875197148,0.0133785169635873,0.0124917943284208,0.0125574118293077,2015-02-28
DAY,1425168000,0.0125574118293077,0.012950941398927,0.0110378584221193,0.011756629210688,2015-03-01
DAY,1425254400,0.011756629210688,0.0124347133104158,0.0116159209511003,0.0118323167007374,2015-03-02
DAY,1425340800,0.0118323167007374,0.0120270487316859,0.0082964167204742,0.0089619430558598,2015-03-03
DAY,1425427200,0.0089619430558598,0.0107724142816542,0.0085881450754348,0.0104952970815311,2015-03-04
DAY,1425513600,0.0104952970815311,0.0122390301105893,0.0104505284642631,0.0113665105789185,2015-03-05
DAY,1425600000,0.0113665105789185,0.0118203587994765,0.0102676605032803,0.0105883090107344,2015-03-06
DAY,1425686400,0.0105883090107344,0.0111079979409369,0.0099774176212168,0.0104026122407549,2015-03-07
DAY,1425772800,0.0104026122407549,0.0105586477486257,0.0098519592860656,0.0101820524340049,2015-03-08
DAY,1425859200,0.0101820524340049,0.0110530470979874,0.0100479953442917,0.0103138244751039,2015-03-09
DAY,1425945600,0.0103138244751039,0.0106771224119099,0.0098400044780897,0.009969161712697,2015-03-10
DAY,1426032000,0.009969161712697,0.0105510444367895,0.009969161712697,0.010300490472975,2015-03-11
DAY,1426118400,0.010300490472975,0.0107057954280634,0.0098575667945042,0.0105017594239961,2015-03-12
DAY,1426204800,0.0105017594239961,0.0108138907044518,0.0102505588759087,0.010441163197104,2015-03-13
DAY,1426291200,0.010441163197104,0.0116243552154724,0.0103663140435753,0.0111233430598244,2015-03-14
DAY,1426377600,0.0111233430598244,0.0115025689967817,0.0104854432344129,0.0107351625928419,2015-03-15
DAY,1426464000,0.0107351625928419,0.0114560902013229,0.0102386188499936,0.0109503040073801,2015-03-16
DAY,1426550400,0.0109503040073801,0.0113613316401342,0.0093591462004056,0.0107690841978583,2015-03-17
DAY,1426636800,0.0107690841978583,0.0113373744330625,0.0099817398384762,0.0101100324610587,2015-03-18
DAY,1426723200,0.0101100324610587,0.010515928779841,0.0096399540662295,0.0101020412138947,2015-03-19
DAY,1426809600,0.0101020412138947,0.0104697437678989,0.0098785011615704,0.0101153468574315,2015-03-20
DAY,1426896000,0.0101153468574315,0.010401084856962,0.0096597722959457,0.0098479250439539,2015-03-21
DAY,1426982400,0.0098479250439539,0.0102482784678635,0.0098479250439539,0.0101077666828943,2015-03-22
DAY,1427068800,0.0101077666828943,0.0101302067113068,0.0096564270189286,0.0096739713964419,2015-03-23
DAY,1427155200,0.0096739713964419,0.0098739005614369,0.0091460745145704,0.0091460745145704,2015-03-24
DAY,1427241600,0.0091460745145704,0.0093543407721073,0.0086017761615136,0.0087518006022624,2015-03-25
DAY,1427328000,0.0087518006022624,0.0089633959959898,0.0084891325379082,0.0085906771355143,2015-03-26
DAY,1427414400,0.0085906771355143,0.0088117060916716,0.008546212442723,0.0086738007830264,2015-03-27
DAY,1427500800,0.0086738007830264,0.008938665583361,0.0086738007830264,0.0088407150643366,2015-03-28
DAY,1427587200,0.0088407150643366,0.0088846902454141,0.0081123414022309,0.0083248235654775,2015-03-29
DAY,1427673600,0.0083248235654775,0.0086196952533355,0.0081071097920841,0.0081208281229858,2015-03-30
DAY,1427760000,0.0081208281229858,0.0082059464980243,0.0074718966544463,0.007643867914294,2015-03-31
DAY,1427846400,0.007643867914294,0.0079426188707975,0.0075141506790296,0.0076607232485316,2015-04-01
DAY,1427932800,0.0076607232485316,0.0083509070391657,0.0076607232485316,0.0080519857259806,2015-04-02
DAY,1428019200,0.0080519857259806,0.0096710395312793,0.0078951262819701,0.0087532653220044,2015-04-03
DAY,1428105600,0.0087532653220044,0.0089126919304223,0.0084431364498376,0.0085752512012444,2015-04-04
DAY,1428192000,0.0085752512012444,0.0087733165444138,0.008481567679561,0.0087600088256018,2015-04-05
DAY,1428278400,0.0087600088256018,0.0094184731322549,0.0084840646187375,0.0088750549268902,2015-04-06
DAY,1428364800,0.0088750549268902,0.0093624742900907,0.0087801283053701,0.0091330206641324,2015-04-07
DAY,1428451200,0.0091330206641324,0.0093837837619379,0.0088403748278535,0.0090679441169929,2015-04-08
DAY,1428537600,0.0090679441169929,0.009237815562086,0.0085240151772573,0.0086038336636974,2015-04-09
DAY,1428624000,0.0086038336636974,0.0087165057532641,0.0082627955696506,0.0085132882019382,2015-04-10
DAY,1428710400,0.0085132882019382,0.0086164720518148,0.0061438323414591,0.008054414640461,2015-04-11
DAY,1428796800,0.008054414640461,0.0083450249431505,0.008037626308976,0.0082285947484784,2015-04-12
DAY,1428883200,0.0082285947484784,0.0083179325603656,0.0077718982611018,0.0080342560096688,2015-04-13
DAY,1428969600,0.0080342560096688,0.0080342560096688,0.0075541073612319,0.0077853209998698,2015-04-14
DAY,1429056000,0.0077853209998698,0.0079065906451022,0.0074464578015854,0.0077877163529937,2015-04-15
DAY,1429142400,0.0077877163529937,0.0079614549931499,0.007456433876475,0.007915445534267,2015-04-16
DAY,1429228800,0.007915445534267,0.0080234246368921,0.0076265543493147,0.0078505368416089,2015-04-17
DAY,1429315200,0.0078505368416089,0.0079090170482034,0.0077464170147318,0.0078555598430886,2015-04-18
